종목,월,방향,손절선(%),손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,2,아래,-7.0,가능,최근 10년,10,0,11.61,1.16,70.0,1.06,48.54,3,8.23,-4.33,3.72,0,0,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,-7.0,가능,최근 5년,5,0,-5.02,-1.0,40.0,0.543,64.81,3,2.55,-4.33,2.63,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,아래,-8.0,가능,전체,11,0,10.83,0.98,63.64,1.287,43.72,4,8.23,-4.33,3.57,0,0,5.91,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,-8.0,가능,앞 절반,5,0,9.94,1.99,80.0,3.468,22.38,1,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,-8.0,가능,뒤 절반,6,0,0.9,0.15,50.0,1.114,47.31,3,5.92,-4.33,3.68,0,0,5.83,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,-8.0,가능,최근 10년,10,0,11.61,1.16,70.0,1.06,48.54,3,8.23,-4.33,3.72,0,0,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,-8.0,가능,최근 5년,5,0,-5.02,-1.0,40.0,0.543,64.81,3,2.55,-4.33,2.63,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,아래,-9.0,가능,전체,11,0,10.83,0.98,63.64,1.287,43.72,4,8.23,-4.33,3.57,0,0,5.91,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,-9.0,가능,앞 절반,5,0,9.94,1.99,80.0,3.468,22.38,1,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,-9.0,가능,뒤 절반,6,0,0.9,0.15,50.0,1.114,47.31,3,5.92,-4.33,3.68,0,0,5.83,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,-9.0,가능,최근 10년,10,0,11.61,1.16,70.0,1.06,48.54,3,8.23,-4.33,3.72,0,0,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,-9.0,가능,최근 5년,5,0,-5.02,-1.0,40.0,0.543,64.81,3,2.55,-4.33,2.63,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,아래,-10.0,가능,전체,11,0,10.83,0.98,63.64,1.287,43.72,4,8.23,-4.33,3.57,0,0,5.91,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,-10.0,가능,앞 절반,5,0,9.94,1.99,80.0,3.468,22.38,1,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,-10.0,가능,뒤 절반,6,0,0.9,0.15,50.0,1.114,47.31,3,5.92,-4.33,3.68,0,0,5.83,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,-10.0,가능,최근 10년,10,0,11.61,1.16,70.0,1.06,48.54,3,8.23,-4.33,3.72,0,0,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,-10.0,가능,최근 5년,5,0,-5.02,-1.0,40.0,0.543,64.81,3,2.55,-4.33,2.63,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,아래,무손절,가능,전체,11,0,10.83,0.98,63.64,1.287,43.72,4,8.23,-4.33,3.57,0,0,5.91,예,2016-02-19,2026-02-20
KODEX 코스닥150,2,아래,무손절,가능,앞 절반,5,0,9.94,1.99,80.0,3.468,22.38,1,8.23,-0.77,3.57,0,0,6.0,아니오,2016-02-19,2020-02-20
KODEX 코스닥150,2,아래,무손절,가능,뒤 절반,6,0,0.9,0.15,50.0,1.114,47.31,3,5.92,-4.33,3.68,0,0,5.83,아니오,2021-02-19,2026-02-20
KODEX 코스닥150,2,아래,무손절,가능,최근 10년,10,0,11.61,1.16,70.0,1.06,48.54,3,8.23,-4.33,3.72,0,0,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150,2,아래,무손절,가능,최근 5년,5,0,-5.02,-1.0,40.0,0.543,64.81,3,2.55,-4.33,2.63,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150,2,위,-3.0,가능,전체,11,0,-11.35,-1.03,27.27,1.068,48.35,8,4.33,-4.92,2.72,1,3,4.82,예,2016-02-19,2026-02-20
