대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
2001,18일 → 말일-1,362,아래,53.59,0.84,305.74,51.81,1.78,0.4845,4,47.51,제외,0/3,차이 · 우연확률 · 시기
2001,18일 → 말일-2,362,아래,56.08,0.96,349.07,54.37,1.71,0.5175,4,51.93,제외,0/3,차이 · 우연확률 · 시기
2001,18일 → 말일-3,362,아래,53.31,0.68,245.39,51.63,1.68,0.4755,4,51.93,제외,0/3,차이 · 우연확률 · 시기
2001,19일 → 말일,362,아래,54.14,0.43,155.4,49.3,4.85,0.0689,4,50.83,제외,0/3,차이 · 우연확률 · 시기
2001,19일 → 말일+1,362,아래,49.45,0.04,14.12,46.48,2.96,0.2258,4,48.07,제외,0/3,차이 · 우연확률 · 시기
2001,19일 → 말일+2,362,아래,47.79,-0.02,-6.9,46.84,0.95,0.7622,4,47.51,제외,0/3,차이 · 우연확률 · 시기
2001,19일 → 말일+3,362,아래,48.9,-0.08,-27.23,47.52,1.38,0.5874,4,46.96,제외,0/3,차이 · 우연확률 · 시기
2001,19일 → 말일-1,362,아래,54.42,0.74,268.85,51.81,2.61,0.2917,4,47.51,제외,0/3,차이 · 우연확률 · 시기
2001,19일 → 말일-2,362,아래,58.56,0.86,312.77,54.37,4.19,0.1049,4,53.33,제외,0/3,차이 · 우연확률 · 시기
2001,19일 → 말일-3,362,아래,55.8,0.58,208.45,51.63,4.17,0.0939,4,53.33,제외,0/3,차이 · 우연확률 · 시기
2001,20일 → 말일,362,아래,51.1,0.38,138.72,49.3,1.81,0.5375,4,49.17,제외,0/3,차이 · 우연확률 · 시기
2001,20일 → 말일+1,362,아래,50.55,-0.0,-1.62,46.48,4.07,0.0979,4,48.62,제외,0/3,차이 · 우연확률 · 시기
2001,20일 → 말일+2,362,아래,48.9,-0.06,-21.94,46.84,2.05,0.4376,4,45.0,제외,0/3,차이 · 우연확률 · 시기
2001,20일 → 말일+3,362,위,53.04,0.12,42.88,52.48,0.56,0.8741,4,51.38,제외,0/3,차이 · 우연확률 · 시기
2001,20일 → 말일-1,362,아래,56.08,0.7,251.81,51.81,4.27,0.0999,4,51.38,제외,0/3,차이 · 우연확률 · 시기
2001,20일 → 말일-2,362,아래,58.01,0.82,295.32,54.37,3.64,0.1668,4,53.59,제외,0/3,차이 · 우연확률 · 시기
2001,20일 → 말일-3,359,아래,53.76,0.53,189.75,51.63,2.13,0.3766,4,50.56,제외,0/3,차이 · 우연확률 · 시기
2001,21일 → 말일,362,아래,52.49,0.36,132.08,49.3,3.19,0.2488,4,51.38,제외,0/3,차이 · 우연확률 · 시기
2001,21일 → 말일+1,362,아래,49.17,-0.02,-7.01,46.48,2.69,0.2747,4,48.62,제외,0/3,차이 · 우연확률 · 시기
2001,21일 → 말일+2,362,아래,48.9,-0.08,-27.49,46.84,2.05,0.4376,4,46.67,제외,0/3,차이 · 우연확률 · 시기
2001,21일 → 말일+3,362,위,53.31,0.14,48.96,52.48,0.83,0.7962,4,50.83,제외,0/3,차이 · 우연확률 · 시기
2001,21일 → 말일-1,362,아래,55.8,0.68,245.06,51.81,3.99,0.1229,4,51.38,제외,0/3,차이 · 우연확률 · 시기
2001,21일 → 말일-2,359,아래,55.99,0.8,288.07,54.37,1.62,0.5485,4,53.89,제외,0/3,차이 · 우연확률 · 시기
2001,21일 → 말일-3,359,아래,54.04,0.52,186.57,51.63,2.41,0.3127,4,50.56,제외,0/3,차이 · 우연확률 · 시기
2001,22일 → 말일,362,아래,50.28,0.15,54.92,49.3,0.98,0.7682,4,48.33,제외,0/3,차이 · 우연확률 · 시기
2001,22일 → 말일+1,362,위,53.59,0.24,86.06,53.46,0.13,1.0,4,51.93,제외,0/3,차이 · 우연확률 · 시기
2001,22일 → 말일+2,362,위,53.59,0.3,107.8,53.12,0.47,0.8851,4,51.38,제외,0/3,차이 · 우연확률 · 시기
2001,22일 → 말일+3,362,위,54.97,0.36,130.96,52.48,2.49,0.3536,4,53.59,제외,0/3,차이 · 우연확률 · 시기
2001,22일 → 말일-1,361,아래,54.02,0.47,169.78,51.81,2.21,0.3806,4,49.17,제외,0/3,차이 · 우연확률 · 시기
2001,22일 → 말일-2,359,아래,54.87,0.61,219.7,54.37,0.5,0.8761,4,52.94,제외,0/3,차이 · 우연확률 · 시기
2001,22일 → 말일-3,352,아래,52.56,0.34,119.03,51.63,0.93,0.6853,4,47.37,제외,0/3,차이 · 우연확률 · 시기
2001,23일 → 말일,362,위,54.14,0.16,57.51,50.63,3.51,0.1568,4,51.67,제외,0/3,차이 · 우연확률 · 시기
2001,23일 → 말일+1,362,위,57.18,0.55,200.11,53.46,3.72,0.1499,4,55.25,제외,1/3,차이 · 우연확률
2001,23일 → 말일+2,362,위,55.25,0.61,221.18,53.12,2.13,0.4046,4,53.33,제외,0/3,차이 · 우연확률 · 시기
2001,23일 → 말일+3,362,위,56.91,0.68,245.01,52.48,4.42,0.0879,4,55.25,제외,1/3,차이 · 우연확률
2001,23일 → 말일-1,361,위,52.08,-0.16,-57.08,48.1,3.97,0.1319,4,50.56,제외,0/3,차이 · 우연확률 · 시기
2001,23일 → 말일-2,356,위,47.19,-0.31,-108.84,45.6,1.59,0.5504,4,44.07,제외,0/3,차이 · 우연확률 · 시기
2001,23일 → 말일-3,334,위,50.0,-0.03,-9.68,48.32,1.68,0.5614,4,47.9,제외,0/3,차이 · 우연확률 · 시기
2001,24일 → 말일,362,위,54.7,0.25,88.96,50.63,4.06,0.1019,4,48.33,제외,0/3,차이 · 우연확률 · 시기
2001,24일 → 말일+1,362,위,56.91,0.64,233.48,53.46,3.44,0.1888,4,55.0,제외,1/3,차이 · 우연확률
2001,24일 → 말일+2,362,위,57.73,0.71,255.62,53.12,4.62,0.0679,4,48.33,제외,0/3,차이 · 우연확률 · 시기
2001,24일 → 말일+3,362,위,56.35,0.77,279.63,52.48,3.87,0.1479,4,51.67,제외,0/3,차이 · 우연확률 · 시기
2001,24일 → 말일-1,358,위,51.96,-0.07,-26.14,48.1,3.85,0.1399,4,48.6,제외,0/3,차이 · 우연확률 · 시기
2001,24일 → 말일-2,342,위,47.95,-0.22,-76.29,45.6,2.35,0.4206,4,46.2,제외,0/3,차이 · 우연확률 · 시기
