종목,만기월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
KODEX 200,9,위,-8.0,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-8.5,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-8.5,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-8.5,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-8.5,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-8.5,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-9.0,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-9.0,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-9.0,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-9.0,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-9.0,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-9.5,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-9.5,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-9.5,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-9.5,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-9.5,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-10.0,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-10.0,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-10.0,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-10.0,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-10.0,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
SPY,9,아래,무손절,전체,33,0,28.92,0.88,72.73,6.57,-7.36,2.37,0,0,5.0,예
SPY,9,아래,무손절,앞 절반,16,0,9.92,0.62,75.0,4.49,-7.36,2.68,0,0,5.0,예
SPY,9,아래,무손절,뒤 절반,17,0,19.0,1.12,70.59,6.57,-2.07,2.1,0,0,5.0,예
SPY,9,아래,무손절,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,무손절,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-1.0,전체,33,0,25.73,0.78,60.61,6.57,-2.51,1.97,2,7,4.21,예
SPY,9,아래,-1.0,앞 절반,16,0,11.4,0.71,62.5,4.49,-2.51,1.87,1,3,4.19,예
SPY,9,아래,-1.0,뒤 절반,17,0,14.33,0.84,58.82,6.57,-1.08,2.12,1,4,4.24,예
SPY,9,아래,-1.0,최근 10년,10,0,7.0,0.7,60.0,4.57,-1.08,1.78,1,1,4.7,예
SPY,9,아래,-1.0,최근 5년,5,0,6.12,1.22,60.0,4.57,-1.08,2.42,1,0,4.8,아니오
SPY,9,아래,-1.5,전체,33,0,31.09,0.94,69.7,6.57,-2.51,1.97,2,3,4.61,예
SPY,9,아래,-1.5,앞 절반,16,0,11.99,0.75,68.75,4.49,-2.51,1.88,1,2,4.5,예
SPY,9,아래,-1.5,뒤 절반,17,0,19.1,1.12,70.59,6.57,-1.7,2.08,1,1,4.71,예
SPY,9,아래,-1.5,최근 10년,10,0,6.82,0.68,60.0,4.57,-1.7,1.82,1,0,4.9,예
SPY,9,아래,-1.5,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-2.0,전체,33,0,33.96,1.03,72.73,6.57,-2.51,1.95,1,2,4.73,예
SPY,9,아래,-2.0,앞 절반,16,0,14.89,0.93,75.0,4.49,-2.51,1.85,1,1,4.62,예
SPY,9,아래,-2.0,뒤 절반,17,0,19.07,1.12,70.59,6.57,-2.0,2.09,0,1,4.82,예
SPY,9,아래,-2.0,최근 10년,10,0,7.29,0.73,60.0,4.57,-1.23,1.76,0,0,5.0,예
SPY,9,아래,-2.0,최근 5년,5,0,6.64,1.33,60.0,4.57,-0.57,2.31,0,0,5.0,아니오
SPY,9,아래,-2.5,전체,33,0,33.39,1.01,72.73,6.57,-2.51,1.98,1,1,4.82,예
