대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
229200,17일 → 말일,17,0,최근 5년,60,0,60,-0.2,-0.71,45.0,55.0,28.37,-11.45,6.41,1159,0,1159,0.13,0.26,51.94,47.8,32.77,-27.22,6.43,-0.33,-0.97,-6.94,7.2,0.6553,0.1698,0.2717,0.2737,,False,예
229200,17일 → 말일+1,17,1,앞 절반,65,0,65,0.27,0.0,49.23,49.23,8.71,-11.75,4.44,1311,0,1311,0.55,0.17,51.26,48.21,23.89,-19.89,4.77,-0.27,-0.17,-2.03,1.02,0.6713,0.7502,0.7922,0.8971,,False,예
229200,17일 → 말일+1,17,1,뒤 절반,66,0,66,-0.16,0.19,50.0,48.48,20.82,-11.41,5.75,1328,0,1328,0.16,0.41,53.61,45.93,24.97,-24.99,5.76,-0.32,-0.21,-3.61,2.55,0.6404,0.7403,0.6154,0.7083,,False,예
229200,17일 → 말일+1,17,1,최근 10년,120,0,120,-0.07,-0.02,49.17,50.0,20.82,-11.75,5.26,2448,0,2448,0.35,0.31,52.49,47.02,24.97,-24.99,5.44,-0.42,-0.32,-3.33,2.98,0.4206,0.5564,0.5205,0.5864,,False,예
229200,17일 → 말일+1,17,1,최근 5년,60,0,60,-0.19,-0.02,48.33,50.0,20.82,-11.41,5.83,1219,0,1219,0.16,0.31,52.5,47.01,24.97,-24.99,5.87,-0.35,-0.33,-4.17,2.99,0.6823,0.6883,0.5854,0.6803,,False,예
229200,17일 → 말일+2,17,2,앞 절반,65,0,65,0.42,0.43,53.85,46.15,10.48,-9.13,4.86,1311,0,1311,0.69,0.42,52.71,46.99,27.15,-14.99,5.08,-0.27,0.01,1.14,-0.83,0.6813,0.951,0.8941,0.8901,,False,예
229200,17일 → 말일+2,17,2,뒤 절반,66,0,66,-0.35,0.55,56.06,43.94,26.14,-15.02,6.43,1328,0,1328,0.01,0.24,52.03,47.36,30.47,-19.82,6.41,-0.36,0.3,4.03,-3.43,0.6464,0.6793,0.5185,0.5964,,True,예
229200,17일 → 말일+2,17,2,최근 10년,120,0,120,-0.15,0.46,53.33,46.67,26.14,-15.02,5.84,2448,0,2448,0.28,0.25,51.72,47.88,30.47,-19.82,5.97,-0.43,0.21,1.62,-1.21,0.4346,0.7053,0.7133,0.7762,,True,예
229200,17일 → 말일+2,17,2,최근 5년,60,0,60,-0.38,0.51,55.0,45.0,26.14,-15.02,6.58,1219,0,1219,-0.0,0.21,51.6,47.99,30.47,-19.82,6.58,-0.37,0.3,3.4,-2.99,0.6783,0.6414,0.5924,0.5914,,True,예
229200,17일 → 말일+3,17,3,앞 절반,65,0,65,0.36,1.04,56.92,43.08,10.44,-16.75,5.43,1311,0,1311,0.59,0.6,54.0,45.77,27.98,-21.05,5.56,-0.23,0.44,2.92,-2.69,0.7253,0.5874,0.6154,0.7223,,False,예
229200,17일 → 말일+3,17,3,뒤 절반,65,0,65,0.01,0.91,53.85,46.15,25.49,-16.39,6.62,1308,0,1308,0.12,0.47,54.13,45.8,29.79,-19.42,6.55,-0.12,0.44,-0.28,0.36,0.8691,0.5435,1.0,1.0,,False,예
229200,17일 → 말일+3,17,3,최근 10년,119,0,119,0.0,0.95,53.78,46.22,25.49,-16.75,6.19,2428,0,2428,0.35,0.52,53.79,46.09,29.79,-21.05,6.3,-0.35,0.43,-0.01,0.13,0.5674,0.4855,1.0,1.0,,False,예
229200,17일 → 말일+3,17,3,최근 5년,59,0,59,-0.05,0.91,52.54,47.46,25.49,-16.39,6.77,1199,0,1199,0.18,0.44,53.46,46.46,29.79,-19.42,6.8,-0.24,0.47,-0.92,1.0,0.7872,0.5405,1.0,1.0,,True,예
